UniProt_ID,BindingDB_ID,chEMBL_ID,Molecule_name,IN_KI
P00519,BDBM13535,CHEMBL124660,TANDUTINIB,IK28349
P00519,BDBM25084,CHEMBL230011,TG100115,IK28350
P00519,BDBM60665,CHEMBL475251,R406,IK28351
P00519,BDBM5931,CHEMBL296468,BMS387032,IK28352
P00519,BDBM26474,CHEMBL477772,PAZOPANIB,IK28353
P00519,BDBM21,CHEMBL24828,VANDETANIB,IK28354
P00519,BDBM21079,CHEMBL223360,LINIFANIB,IK28355
P00519,BDBM50355501,CHEMBL1789941,RUXOLITINIB,IK28356
P00519,BDBM50331096,CHEMBL491473,CEDIRANIB,IK28357
P00519,BDBM50193995,CHEMBL221959,TOFACITINIB,IK28358
P00519,BDBM31095,CHEMBL1721885,SU014813,IK28359
P00519,BDBM50332294,CHEMBL1287853,FEDRATINIB,IK28360
P00519,BDBM50132260,CHEMBL105442,CI1040,IK28361
P00519,BDBM60665,CHEMBL475251,R406,IK28362
P00519,BDBM13534,CHEMBL572878,TOZASERTIB,IK28363
P00519,BDBM31093,CHEMBL259084,MLN8054,IK28364
P00519,BDBM5655,CHEMBL428690,ALVOCIDIB,IK28365
P00519,BDBM13530,CHEMBL941,IMATINIB,IK28366
P00519,BDBM4814,CHEMBL535,SUNITINIB,IK28367
P00519,BDBM16673,CHEMBL1336,SORAFENIB,IK28368
P00519,BDBM21079,CHEMBL223360,LINIFANIB,IK28369
P00519,BDBM50331096,CHEMBL491473,CEDIRANIB,IK28370
P00519,BDBM4779,CHEMBL31965,CANERTINIB,IK28371
P00519,BDBM27817,CHEMBL464552,GSK1838705A,IK28372
P00519,BDBM6568,CHEMBL386051,PD17395,IK28373
P00519,BDBM50161957,CHEMBL180022,NERATINIB,IK28374
P00519,BDBM12621,CHEMBL384304,RG547,IK28375
P00519,BDBM50355495,CHEMBL1908391,MASITINIB,IK28376
P00519,BDBM50355500,CHEMBL1908394,GSK461364,IK28377
P00519,BDBM50355499,CHEMBL1908842,JNJ28312141,IK28378
P00519,BDBM50355494,CHEMBL1908396,Ki20227,IK28379
P00519,BDBM50355496,CHEMBL1908397,KW2449,IK28380
P00519,BDBM25084,CHEMBL230011,TG100115,IK28381
P00519,BDBM13216,CHEMBL1421,DASATINIB,IK28382
P00519,BDBM4552,CHEMBL288441,BOSUTINIB,IK28383
P00519,BDBM13336,CHEMBL10,SB203580,IK28384
P00519,BDBM31088,CHEMBL558752,RAF265,IK28385
P00519,BDBM25045,CHEMBL573339,PI103,IK28386
P00519,BDBM13533,CHEMBL103667,DORAMAPIMOD,IK28387
P00519,BDBM50300690,CHEMBL576982,QUIZARTINIB,IK28388
P00519,BDBM5655,CHEMBL428690,ALVOCIDIB,IK28389
P00519,BDBM60665,CHEMBL475251,R406,IK28390
P00519,BDBM31085,CHEMBL574738,AST487,IK28391
P00519,BDBM25617,CHEMBL1230020,PLX4720,IK28392
P00519,BDBM24773,CHEMBL572881,MOTESANIB,IK28393
P00519,BDBM13216,CHEMBL1421,DASATINIB,IK28394
P00519,BDBM4814,CHEMBL535,SUNITINIB,IK28395
P00519,BDBM4779,CHEMBL31965,CANERTINIB,IK28396
P00519,BDBM21079,CHEMBL223360,LINIFANIB,IK28397
P00519,BDBM13336,CHEMBL10,SB203580,IK28398
P00519,BDBM4851,CHEMBL101253,VATALANIB,IK28399
P00519,BDBM17055,CHEMBL91829,RUBOXISTAURIN,IK28400
P00519,BDBM16673,CHEMBL1336,SORAFENIB,IK28401
P00519,BDBM50355495,CHEMBL1908391,MASITINIB,IK28402
P00519,BDBM50355494,CHEMBL1908396,Ki20227,IK28403
P00519,BDBM50355496,CHEMBL1908397,KW2449,IK28404
P00519,BDBM50355500,CHEMBL1908394,GSK461364,IK28405
P00519,BDBM50355499,CHEMBL1908842,JNJ28312141,IK28406
P00519,BDBM26300,CHEMBL215152,AZD1152HQPA,IK28407
P00519,BDBM26474,CHEMBL477772,PAZOPANIB,IK28408
P00519,BDBM5655,CHEMBL428690,ALVOCIDIB,IK28409
P00519,BDBM6568,CHEMBL386051,PD17395,IK28410
P00519,BDBM15244,CHEMBL119385,NEFLAMAPIMOD,IK28411
P00519,BDBM5445,CHEMBL554,LAPATINIB,IK28412
P00519,BDBM50308060,CHEMBL603469,LESTAURTINIB,IK28413
P00519,BDBM6568,CHEMBL386051,PD17395,IK28414
P00519,BDBM50242737,CHEMBL450786,PHA665752,IK28415
P00519,BDBM5445,CHEMBL554,LAPATINIB,IK28416
P00519,BDBM50026612,CHEMBL502835,NINTEDANIB,IK28417
P00519,BDBM15138,CHEMBL379218,A674563,IK28418
P00519,BDBM5446,CHEMBL553,ERLOTINIB,IK28419
P00519,BDBM50309910,CHEMBL608154,ML120B,IK28420
P00519,BDBM50309910,CHEMBL608154,ML120B,IK28421
P00519,BDBM50332294,CHEMBL1287853,FEDRATINIB,IK28422
P00519,BDBM50242742,CHEMBL509032,TAE684,IK28423
P00519,BDBM12621,CHEMBL384304,RG547,IK28424
P00519,BDBM21,CHEMBL24828,VANDETANIB,IK28425
P00519,BDBM50193995,CHEMBL221959,TOFACITINIB,IK28426
P00519,BDBM50306682,CHEMBL601719,CRIZOTINIB,IK28427
P00519,BDBM13534,CHEMBL572878,TOZASERTIB,IK28428
P00519,BDBM25121,CHEMBL513909,BI2536,IK28429
P00519,BDBM27817,CHEMBL464552,GSK1838705A,IK28430
P00519,BDBM16673,CHEMBL1336,SORAFENIB,IK28431
P00519,BDBM5447,CHEMBL939,GEFITINIB,IK28432
